Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
1,50,10,4.32,8,Mobile,Romance,Oceania,On-Time,Premium,No,9,26,3307,Yes,2
2,40,5,4.45,3,Smart TV,Comedy,Asia,On-Time,Premium,No,6,27,7333,Yes,2
3,17,8,4.81,8,Laptop,Sci-fi,South America,On-Time,Basic,No,0,55,7527,Yes,3
4,59,10,2.67,10,Mobile,Action,Africa,On-Time,Basic,No,1,29,9934,Yes,3
5,5,7,4.2,9,Smart TV,Sci-fi,North America,On-Time,Standard,No,7,45,6242,Yes,3
6,1,7,2.99,8,Laptop,Romance,Africa,On-Time,Basic,No,0,54,5897,No,3
7,19,9,2.8,8,Laptop,Sci-fi,South America,Delayed,Standard,Yes,1,23,2231,No,3
8,59,8,5.51,9,Laptop,Drama,Africa,On-Time,Basic,No,9,57,2173,Yes,3
9,37,4,2.2,5,Mobile,Drama,Asia,On-Time,Standard,No,5,51,4742,No,4
10,53,8,3.05,9,Tablet,Romance,North America,On-Time,Basic,No,2,67,7278,No,5
11,26,7,4.9,8,Laptop,Drama,Asia,Delayed,Standard,No,2,37,1785,Yes,3
12,1,9,2.52,8,Laptop,Romance,Africa,On-Time,Standard,No,9,47,7747,No,4
13,49,8,4.24,7,Smart TV,Comedy,South America,On-Time,Standard,No,3,30,9657,No,4
14,27,7,5.14,8,Mobile,Romance,Oceania,On-Time,Premium,No,0,22,3853,No,1
15,19,4,3.6,4,Laptop,Drama,Europe,On-Time,Premium,No,3,18,2260,No,2
16,28,8,5.37,10,Smart TV,Action,Oceania,Delayed,Standard,No,6,28,3708,Yes,5
17,51,4,2.67,4,Tablet,Action,Asia,On-Time,Basic,No,10,44,2633,No,3
18,1,2,1.82,1,Smart TV,Action,Europe,Delayed,Basic,Yes,8,36,2836,No,2
19,31,10,4.69,10,Laptop,Sci-fi,Europe,On-Time,Standard,No,9,43,2336,Yes,3
20,49,7,3.79,8,Tablet,Drama,Europe,On-Time,Basic,No,7,18,6594,Yes,1
21,7,10,5.56,8,Tablet,Action,Oceania,Delayed,Premium,Yes,2,36,6666,No,2
22,35,7,2.29,7,Smart TV,Romance,Africa,On-Time,Basic,No,8,70,5657,Yes,2
23,33,5,1.28,6,Smart TV,Drama,Africa,Delayed,Premium,No,3,60,2355,No,4
24,9,8,3.34,8,Laptop,Romance,Africa,On-Time,Standard,No,7,24,1561,Yes,5
25,45,9,3.99,8,Smart TV,Romance,Oceania,On-Time,Basic,No,4,26,1992,No,3
26,4,6,3.43,6,Laptop,Comedy,Oceania,Delayed,Premium,Yes,0,65,6121,No,3
27,56,7,1.67,9,Smart TV,Sci-fi,South America,On-Time,Premium,No,8,26,1048,No,3
28,55,9,3.73,8,Laptop,Sci-fi,Asia,On-Time,Basic,No,9,26,2240,No,1
29,32,10,2.42,8,Smart TV,Action,Europe,On-Time,Basic,No,2,60,2506,Yes,3
30,42,9,4.69,7,Mobile,Sci-fi,Africa,On-Time,Standard,No,1,31,5875,Yes,2
31,5,9,3.92,10,Laptop,Drama,Europe,On-Time,Basic,No,0,39,4609,Yes,2
32,8,5,1.19,1,Laptop,Romance,Europe,On-Time,Basic,No,2,44,4869,Yes,3
33,51,9,1.83,10,Tablet,Comedy,Asia,On-Time,Standard,No,9,34,7342,No,4
34,18,7,2.19,8,Laptop,Action,Africa,On-Time,Basic,No,7,52,8207,Yes,2
35,6,10,3.5,9,Laptop,Sci-fi,Oceania,On-Time,Premium,No,2,21,6406,No,4
36,14,9,5.17,10,Smart TV,Comedy,Europe,On-Time,Basic,No,8,31,9633,No,5
37,2,10,3.86,9,Laptop,Drama,Europe,On-Time,Premium,No,9,36,2617,Yes,2
38,52,8,1.91,8,Laptop,Sci-fi,Oceania,Delayed,Premium,No,5,52,5028,No,5
39,34,9,5.22,7,Mobile,Action,North America,On-Time,Basic,No,10,23,1952,No,2
40,19,10,3.48,7,Mobile,Romance,North America,On-Time,Premium,No,8,48,6929,No,4
41,29,8,2.35,8,Mobile,Sci-fi,Oceania,On-Time,Basic,No,10,52,8035,Yes,1
42,16,10,5.79,9,Mobile,Action,Oceania,On-Time,Standard,No,10,44,8572,No,3
43,44,7,4.63,9,Tablet,Action,Europe,On-Time,Basic,No,10,25,2487,Yes,1
44,2,8,5.3,7,Smart TV,Sci-fi,Asia,On-Time,Basic,No,1,37,4177,Yes,4
45,41,9,4.54,7,Tablet,Comedy,Europe,Delayed,Standard,No,10,67,1671,Yes,5
46,19,4,3.6,4,Tablet,Sci-fi,Oceania,On-Time,Standard,No,3,55,9754,Yes,3
47,45,2,3.62,1,Mobile,Sci-fi,Africa,On-Time,Basic,No,5,31,9608,Yes,3
48,35,9,1.26,7,Mobile,Sci-fi,Europe,On-Time,Basic,No,6,48,6409,Yes,3
49,22,3,1.85,6,Laptop,Romance,Africa,On-Time,Basic,No,4,47,6710,Yes,1
50,6,10,4.84,7,Laptop,Drama,South America,On-Time,Premium,No,5,31,1565,Yes,1
51,25,10,5.48,10,Tablet,Action,North America,On-Time,Premium,No,5,45,8196,No,4
52,29,7,1.77,10,Smart TV,Comedy,Oceania,On-Time,Basic,No,8,58,6836,Yes,5
53,43,10,5.94,10,Laptop,Drama,North America,On-Time,Premium,No,3,44,7207,Yes,5
54,52,10,4.75,9,Mobile,Drama,Africa,On-Time,Standard,No,0,56,2502,Yes,3
55,36,10,5.45,9,Mobile,Comedy,Africa,On-Time,Basic,No,7,25,1919,No,1
56,31,1,4.01,3,Tablet,Drama,Africa,On-Time,Standard,No,8,50,2506,Yes,1
57,38,7,5.7,8,Laptop,Drama,Asia,On-Time,Standard,No,8,35,8392,Yes,1
58,58,4,2.38,3,Laptop,Comedy,Africa,On-Time,Basic,No,1,29,2213,Yes,1
59,48,2,2.57,3,Laptop,Sci-fi,Oceania,On-Time,Premium,No,10,20,9099,Yes,4
60,59,4,3.44,1,Smart TV,Sci-fi,South America,On-Time,Standard,No,2,62,2415,Yes,4
61,15,6,4.47,2,Smart TV,Romance,South America,On-Time,Premium,No,3,19,7527,Yes,4
62,17,1,4.16,3,Tablet,Sci-fi,South America,On-Time,Premium,No,7,42,4530,No,1
63,34,2,5.2,2,Laptop,Drama,Asia,On-Time,Standard,No,6,42,6668,No,4
64,51,2,2.32,2,Mobile,Action,Asia,On-Time,Basic,No,0,47,3061,Yes,5
65,23,8,3.6,10,Smart TV,Comedy,Africa,Delayed,Basic,Yes,4,30,4159,No,5
66,3,10,1.55,9,Tablet,Romance,North America,On-Time,Standard,No,5,51,2755,Yes,4
67,10,10,2.46,10,Smart TV,Romance,South America,On-Time,Basic,No,8,67,1100,Yes,2
68,23,7,4.16,7,Tablet,Action,North America,Delayed,Premium,Yes,9,27,8389,No,1
69,20,9,4.53,10,Smart TV,Action,Africa,On-Time,Standard,No,0,65,7264,No,3
70,38,4,1.9,3,Mobile,Sci-fi,Europe,On-Time,Standard,No,6,34,2953,Yes,5
71,27,3,2.14,6,Mobile,Action,Asia,On-Time,Standard,No,2,35,1260,Yes,1
72,22,8,3.11,7,Tablet,Comedy,Africa,On-Time,Standard,No,8,25,1382,Yes,4
73,3,10,2.91,9,Laptop,Romance,North America,On-Time,Basic,No,2,37,1399,Yes,3
74,14,6,2,3,Tablet,Action,Africa,On-Time,Basic,Yes,2,28,3946,No,3
75,18,1,3.37,6,Smart TV,Sci-fi,Africa,On-Time,Premium,No,0,63,5071,Yes,4
76,41,9,5.02,10,Mobile,Drama,Oceania,On-Time,Standard,No,5,43,4828,Yes,3
77,11,2,1.73,1,Tablet,Sci-fi,North America,On-Time,Basic,Yes,1,65,2361,No,1
78,45,7,1.91,9,Laptop,Action,Oceania,On-Time,Standard,No,7,48,7947,No,5
79,6,8,5.37,9,Smart TV,Sci-fi,North America,Delayed,Premium,Yes,5,22,4908,Yes,5
80,22,10,1.45,7,Laptop,Romance,Europe,On-Time,Basic,No,10,51,5026,Yes,5
81,2,9,5.48,7,Mobile,Action,Oceania,Delayed,Standard,Yes,3,58,4817,Yes,5
82,51,7,4.82,10,Mobile,Romance,Asia,On-Time,Basic,No,10,30,2350,Yes,4
83,19,9,4.22,9,Laptop,Drama,Europe,Delayed,Premium,Yes,10,31,4000,Yes,2
84,35,9,5.31,8,Mobile,Drama,South America,On-Time,Basic,No,1,19,4102,No,5
85,9,2,4.07,4,Tablet,Sci-fi,Oceania,On-Time,Premium,No,1,48,5191,No,2
86,49,1,1.98,4,Mobile,Action,Europe,Delayed,Premium,No,4,25,2364,No,5
87,41,7,1.54,9,Smart TV,Drama,North America,On-Time,Basic,No,6,56,8319,Yes,4
88,22,4,5.74,5,Mobile,Drama,Africa,On-Time,Standard,Yes,1,45,6307,No,3
89,50,9,5.1,9,Mobile,Sci-fi,Europe,On-Time,Standard,No,3,33,1402,No,3
90,55,10,1.41,8,Mobile,Action,North America,On-Time,Premium,No,4,18,3402,Yes,1
91,52,8,1.49,8,Mobile,Sci-fi,North America,Delayed,Basic,No,9,25,8079,Yes,5
92,8,9,4.57,10,Tablet,Comedy,Europe,On-Time,Basic,No,5,24,4112,Yes,1
93,3,5,2.23,3,Smart TV,Comedy,North America,On-Time,Standard,No,7,68,1480,Yes,3
94,13,10,2.21,10,Tablet,Romance,Oceania,On-Time,Basic,No,10,28,7086,Yes,1
95,44,2,4.53,3,Tablet,Action,North America,On-Time,Basic,No,5,54,8242,Yes,2
96,39,5,4.6,5,Mobile,Sci-fi,North America,On-Time,Basic,No,4,40,6845,Yes,5
97,44,1,1.98,3,Mobile,Drama,Oceania,On-Time,Standard,No,7,57,9894,No,2
98,24,10,2.08,9,Mobile,Romance,Africa,On-Time,Standard,No,6,21,9231,No,5
99,29,2,3.87,3,Mobile,Action,Africa,On-Time,Standard,No,5,21,1078,No,5
100,40,7,4.34,7,Tablet,Comedy,Oceania,On-Time,Standard,No,1,54,8356,No,1
101,12,10,2.92,9,Smart TV,Sci-fi,Asia,On-Time,Premium,No,7,46,2768,Yes,5
102,7,7,4.01,8,Mobile,Sci-fi,North America,Delayed,Standard,Yes,4,23,5425,Yes,1
103,29,8,2.34,7,Smart TV,Sci-fi,Oceania,On-Time,Basic,No,1,29,3637,No,2
104,18,7,2.27,8,Laptop,Romance,Africa,On-Time,Basic,No,4,70,2739,Yes,5
105,9,6,3.31,6,Smart TV,Sci-fi,North America,On-Time,Basic,No,8,20,5162,Yes,4
